,Ticker,Perf
0,A,0.4821857923497268
1,A,-0.0339209006073175
2,A,0.2805668626564149
3,A,0.4202501488981536
4,AA,0.2836017956165831
5,AA,-0.3525938422606495
6,AA,-0.5231270358306188
7,AA,0.4653341661461586
8,AAL,0.1449462365591398
9,AAL,-0.2833566433566433
10,AAL,-0.3817614424410541
11,AAMC,-0.0385694249649368
12,AAMC,-0.4577680525164113
13,AAMC,-0.4759259259259259
14,AAOI,-0.4651029748283752
15,AAOI,-0.4599202031193325
16,AAON,0.3717073170731708
17,AAON,0.4767264402899655
18,AAP,-0.2886790028270367
19,AAP,0.4210841313269495
20,AAP,-0.1672453363149533
21,AAPL,0.1742528735632183
22,AAPL,0.2580266249021145
23,AAPL,0.79679663484873
24,AAWW,0.2420443587270974
25,AAWW,0.0277586206896551
26,ABAX,0.6873096446700506
27,ABBV,0.912902177445564
28,ABBV,-0.3013972055888224
29,ABBV,0.0754928874469677
30,ABBV,0.1138782460621541
31,ABC,0.015361178113495
32,ABC,0.1373506360015418
33,ABC,-0.0289838978345363
34,ABC,0.2062350119904077
35,ABCD,1.0020833333333332
36,ABEO,-0.8048780487804879
37,ABEO,0.4591194968553457
38,ABG,-0.0065741417092768
39,ABG,0.0295389048991354
40,ABIO,-0.5891203703703705
41,ABIO,-0.0586080586080586
42,ABM,-0.0581338544211039
43,ABM,-0.224585062240664
44,ABM,0.2448453608247423
45,ABM,0.001280409731114
46,ABMD,1.9326830710116008
47,ABR,0.2343619683069224
48,ABR,-0.0344599072233266
49,ABT,0.3511433099388725
50,ABT,0.2644683714670255
51,ABT,0.1340411413404115
52,ABT,0.3965243071331212
53,ABTL,-0.457002457002457
54,ABTL,1.445454545454545
55,ABUS,0.4193548387096775
56,ABUS,-0.1915422885572138
57,ABUS,0.06312292358804
58,AC,-0.0598958333333332
59,AC,0.1818181818181819
60,AC,0.0612893899971089
61,ACA,0.517968210089841
62,ACA,0.4440203562340968
63,ACAD,-0.30575
64,ACAD,-0.2838468720821662
65,ACAN,0.1464968152866242
66,ACAN,-0.6872037914691942
67,ACAN,0.4
68,ACCO,-0.0598591549295774
69,ACCO,-0.2973384030418251
70,ACER,0.3197026022304832
71,ACET,-0.8952483801295896
72,ACET,0.98019801980198
73,ACET_delis,-0.5081967213114754
74,ACET_delis,-0.8338762214983714
75,ACHC,-0.1426983774172038
76,ACHC,-0.2903142041028304
77,ACHC,0.7191528545119705
78,ACIA,-0.2885143799230628
79,ACIA,0.1282110622541078
80,ACIA,0.4627501064282674
81,ACIW,0.1877510040160641
82,ACIW,0.2466800804828973
83,ACIW,-0.1278312131554451
84,ACIW,0.3678737898888489
85,ACLS,0.7864406779661018
86,ACLS,-0.2337760910815939
87,ACLS,0.1494661921708183
88,ACLS,0.6363261943986819
89,ACM,-0.0744738262277389
90,ACM,-0.1028409090909092
91,ACM,0.3811673653660108
92,ACM,0.1006303992528602
93,ACN,0.1876746096959736
94,ACRX,0.5142857142857143
95,ACRX,-0.608695652173913
96,ACRX,-0.0962962962962963
97,ACU,-0.1144136807817589
98,ACU,-0.2977667493796526
99,ACU,0.0273646638905414
100,ACU,0.9985721085197524
101,ACY,-0.8816326530612245
102,ACY,0.774193548387097
103,ADBE,0.7787674968187602
104,ADBE,0.2525804803270312
105,ADBE,0.3359413344111788
106,ADES,0.0128087831655993
107,ADES,0.0511627906976744
108,ADES,-0.4858407079646018
109,ADES,-0.056105610561056
110,ADI,0.226694045174538
111,ADI,-0.0107130900569132
112,ADI,0.2978985021238543
113,ADI,0.2576873503958756
114,ADM,-0.1201575837163492
115,ADM,0.0159203980099502
116,ADM,0.0754675946063507
117,ADMA,-0.2841880341880341
118,ADMA,-0.5351758793969849
119,ADMA,-0.1041666666666666
120,ADNT,0.7831914893617021
121,ADNT,-0.4927801504982713
122,ADOM,-0.7446808510638298
123,ADOM,2.9166666666666665
124,ADP,0.2528089887640449
125,ADP,0.1830837004405286
126,ADP,0.2165233644859813
127,ADP,-0.1887025595763459
128,ADPT,0.8334443704197202
129,ADS,0.00337803255195
130,ADS,-0.2895837584166496
131,ADS,-0.4563366050808314
132,ADSK,0.5608092485549132
133,ADSK,-0.0036474956034651
134,ADSK,0.8507599858607284
135,ADT,-0.3985680190930788
136,ADT,-0.2681940700808625
137,ADT,0.4235727440147331
138,ADTN,-0.2588235294117647
139,ADTN,-0.0715189873417722
140,ADTN,-0.5879003558718862
141,ADTN,0.8280044101433294
142,ADUS,0.2917293233082708
143,ADUS,0.4619653179190751
144,ADUS,-0.1618308766485647
145,ADUS,0.2764889022798031
146,ADV,-0.0642115203021718
147,ADVM,1.4107142857142858
148,ADVM,0.8688524590163933
149,ADVM,0.3289473684210526
150,ADXS,-0.935959595959596
151,ADXS,-0.7474747474747475
152,ADXS,0.3283582089552238
153,AE,0.1073107049608355
154,AE,-0.106206896551724
155,AE,-0.3359999999999999
156,AE,0.0979978925184405
157,AEE,0.017725258493353
158,AEE,0.2781204644412193
159,AEE,0.1932122236304745
160,AEE,-0.1141358641358641
161,AEHR,0.583710407239819
162,AEHR,-0.2628571428571428
163,AEHR,-0.4864864864864864
164,AEHR,0.338345864661654
165,AEIS,0.1018032786885244
166,AEIS,-0.2357013847080072
167,AEIS,0.32155884046842
168,AEIS,0.8774485183324964
169,AEO,0.3494809688581315
170,AEO,0.0622131565527791
171,AEO,-0.5384980988593155
172,AEO,2.276431718061674
173,AEP,-0.006896551724138
174,AEP,0.2414790018259282
175,AEP,0.2724438902743141
176,AEP,-0.2216610004856727
177,AES,-0.0819812126387703
