,Op. In./(NWC+FA),Op. In./Interest Expense,Working Capital Ratio,RoE,Cash Ratio,Asset Turnover,Gross Profit Margin
5625,-0.0303809301238607,-0.07361268403171,1.0655123170296323,0.2783875851627554,0.0779186004998215,7.234132581100141,0.5644375121856112
5626,0.0902148819037471,0.2583926754832146,1.1614588776256662,0.129135275958074,0.1089978054133138,5.92168379833578,0.5651347330137213
5627,0.0168109397450507,1.599609375,0.853385976663024,0.0261147026420271,0.5472908661472838,0.0890564429222809,0.7335885000633955
5628,0.0167166147451627,1.6207630263743875,0.2660772922455166,0.0298200920854287,0.1672139429148774,0.0811471798771288,0.738842923987481
5629,0.0211600070651362,2.1870868744098204,4.042198597011024,0.0242137094344388,3.9344908718574354,0.0854301842811259,0.7568354871196363
5630,0.022217243946405,2.775032558139535,0.6541465975052488,0.02363401538028,0.6086899468939113,0.0785547915062648,2.062409014531479
5631,0.7951612903225806,24.65,1.2149093351242444,0.2641878669275929,0.1779717931497649,16.09,0.2952144188937228
5632,0.4250411861614497,3.739130434782609,1.1947791164658634,0.0224719101123595,0.0816599732262382,15.78481012658228,0.2560144346431435
5633,-0.1344709399839568,-0.076303974510169,4.297082906857728,-0.1911462228870606,1.3454452405322417,36.522946859903385,0.2798518567507688
5634,0.0147529069767441,0.008400057931434,4.667315175097277,0.0178981399053553,1.4474708171206223,40.67787610619469,0.3040073097506853
5635,0.3055806319244973,0.308153849336892,6.045772409408773,0.2104164417089587,3.461326552235643,89.79606440071557,0.3406645947884293
5636,0.1569020725570921,0.1845116173214987,5.536184210526316,0.111660799797038,2.0625,65.94159713945173,0.2826389516493447
5637,0.013843648208469,0.8947368421052632,2.314775160599572,-0.0473407364114552,0.0749464668094218,1.9245385450597177,0.0516220028208744
5638,0.0517315091919623,2.4693877551020407,2.4798099762470307,-0.0525,0.014251781472684,2.047202797202797,0.0834044975804156
5639,0.1636698939603504,7.553191489361702,2.006153846153846,0.1530944625407166,0.4676923076923077,2.479207920792079,0.1384451544195953
5640,0.0163771712158808,1.064516129032258,2.584045584045584,-0.0380566801619433,0.0085470085470085,2.003427004797807,0.114950393431406
5641,0.1079344394890863,5.099787685774947,8.737983392645315,0.069214998459387,6.7274021352313165,6.989903717571544,0.5492964482834486
5642,0.0583570845208927,2.174351808725353,9.630002776565783,0.0479301764184816,6.892189917099679,6.30039702011866,0.525262680902886
5643,0.1459368700056717,3.87360262334178,2.1236502826512225,0.0269945806149767,1.4927527302413703,6.02958359229335,0.5540374783540859
5644,0.0562066763244388,3.883232888506242,13.28478877320804,0.0202034784971805,10.936849295220748,5.577236611288825,0.5592924938481748
5645,0.0345812536055582,3.576260634986512,6.49514638202421,-0.0337501667844182,4.510693429245466,0.1263268994240695,0.8027210317129436
5646,0.0486217258910307,5.390087162062343,4.188869118805239,0.0437579516813603,2.504069072134877,0.1524118197006074,0.8020366866751056
5647,0.063997816381102,5.486253494874185,2.448416791545842,-0.0528350244644647,1.727224957670825,0.1835347966528555,0.8173609386504939
5648,0.0571890171660126,5.148444932308818,4.602171972627194,0.0432283030316712,3.554745611425171,0.1808460250774158,0.8167263908324194
5649,-0.953273214264828,-241.1301775147929,6.335482001883102,-1.459402585822559,5.512493662634896,0.1009298393913778,461.5598827470687
5650,-1.5995575221238938,-35.58143074581431,2.047116564417178,-2.0418275783734665,1.842760736196319,0.007416563658838,7654.201388888889
5651,-102.77582417582416,-24.82112526539278,0.7241236958642948,8.320635462931328,0.5229678000450348,0.0092236740968485,7654.201388888889
5652,-0.8532184490623416,-9.581104154809337,1.870867672932679,-0.9288033974519112,1.5798222057597926,7.418023887079261,80.66488583138174
5653,-0.7023842796637499,-2.703742784432996,9.65673802875168,-0.3893172248774245,9.261971248319371,0.4921707421707422,0.7910220091523208
5654,-0.4529447226582784,-3.14009062131463,11.636558841864654,-0.3997672499986341,11.136524208630602,0.7435787364956714,0.8355623977677282
5655,0.2559001739059746,-9.852671585065952,15.237779581529582,0.1963985315850706,14.419237012987011,7.612884119573549,0.95588201642983
5656,-0.4378351536307514,50.49406980684514,10.245634873500416,-0.2104256581007869,8.795878370352774,1.2160632312842992,0.766099963102773
5657,0.3184023955781226,-289.26344086021504,3.0837424524575363,0.0888460202714731,1.6371254443880143,28.133919338159256,0.3878995056146735
5658,0.2904887357719458,54.69316375198728,2.3246854579147564,0.0783188181841086,0.8684426857644453,24.981202363620792,0.3793637761372343
5659,0.249442046102468,17.6507204610951,2.0617091955482207,0.0700306891100158,0.5974144132707038,29.18524963191005,0.3761566908056362
5660,0.3953481040095213,22.90365296803653,2.0965367112978037,0.1114392555135341,0.5362956156471514,27.37304746170021,0.3874340019670809
5661,0.5644804313954416,781.4476744186046,2.6549021546981817,0.3289657766077473,1.0770524025564634,6.373001026467513,0.3304903601835238
5662,0.3503822819432589,610.792,3.166163600812499,0.2265575779169147,1.2052129012662072,5.0316103858567365,0.2948898624429398
5663,0.2749549667841565,563.1008403361344,3.261493728139793,0.1927513415732548,2.146591563540335,5.992371026828354,0.2710825506673257
5664,0.1502942905346087,-16.392589508742713,4.070864084645026,0.1131199686118448,2.6926392789497746,5.553832832751576,0.2425007186253063
5665,0.0686781110918444,2.574926860981688,1.833008217494816,-0.0217866349891509,0.7544018636561453,7.047381369292116,0.4280043934166864
5666,0.0446497085925559,1.6403774464119292,2.078753467893206,-0.0317578376336278,0.9605867619143894,10.289176758786835,0.4192319820885168
5667,0.0011538542522055,0.0261151353412123,1.830556502202532,0.0178871716436627,0.6967258636575915,11.468675609295296,0.4471465495513453
5668,-0.001886334348094,-0.0631908237747653,1.643413390706485,-0.0438742309056423,0.5467676933030877,13.689832244845691,0.455919755967743
5669,0.0377710548205882,1.1923025043837956,2.7350835838325294,0.0058714882227795,0.5519392362237456,3.1300523710663053,0.3184206446197452
5670,0.141748885072002,2.098465718395397,1.241838119903338,-0.297164667393675,0.0344806338875677,3.047558505204209,0.3479534656135177
